id,asset_id,side,close_reason,entry_price,close_price,closed_pnl_pct,trailing_stop_peak_pnl_pct,size_usd,created_at,closed_at,signal_still_active,error,foregone_1h,end_pct_1h,foregone_4h,end_pct_4h,foregone_12h,end_pct_12h,foregone_24h,end_pct_24h,foregone_48h,end_pct_48h,continued_24h,max_additional_24h
14af9c3f-7b43-419a-b8cb-0360dc333936,sol,long,stop_loss,88.226,87.52,-0.8002176229229514,0.147348854079291,247.61651,2026-04-17 01:32:39.989721+00,2026-04-17 03:41:05.514+00,True,,0.817,0.496,1.043,0.67,3.711,2.729,3.711,0.848,3.711,-2.247,True,3.711
85c6d596-5af7-42b5-9a05-ad9ece3b6f6c,nvda,long,bb2_expiry,198.62,198,-0.31215386164535525,0.563890846843221,20.988,2026-04-16 10:32:28.751178+00,2026-04-17 02:33:09.575+00,True,,0.136,-0.076,0.136,0.01,1.909,1.177,1.909,1.157,1.909,0.5,False,1.909
c9b75f83-3a77-43d4-bddd-3196264c08d7,spx,long,bb2_expiry,7029,7034.7,0.08109261630388133,0.284535495803101,21.104400000000002,2026-04-16 04:02:24.620936+00,2026-04-16 20:03:13.344+00,True,No candles returned for xyz:SPX,,,,,,,,,,,,
035ceaf6-523d-46f5-bb6a-f868a6731938,spx,long,bb2_expiry,7029,7034.7,0.08109261630388133,0.298762270593256,211.04699999999997,2026-04-16 04:02:15.881995+00,2026-04-16 20:03:06.496+00,True,No candles returned for xyz:SPX,,,,,,,,,,,,
a42b0307-0a69-46e6-9fac-6420ba2c9eca,hype,long,stop_loss,44.738,44.042,-1.5557244400733112,0.782332692565607,75.29814,2026-04-16 11:54:53.418638+00,2026-04-16 16:49:09.558+00,True,,1.864,-0.686,1.864,-0.879,1.864,-1.192,3.31,2.534,3.31,0.447,True,3.31
8e51b7fa-dd2d-4784-8487-5ed98e297757,sol,short,stop_loss,85.425,86.817,-1.6294995610184326,1.84840503365525,23.442750000000004,2026-04-16 02:32:14.203181+00,2026-04-16 15:39:12.31+00,True,,1.812,1.088,1.812,-3.71,1.812,-0.988,1.812,-3.56,1.812,0.105,False,1.812
761a0670-6acf-480a-a04c-d7b591206db0,gold,short,bb2_expiry,4803.8,4798.5,0.1103293226195966,0.281027519880095,54.21514,2026-04-15 22:32:23.299169+00,2026-04-16 14:33:16.841+00,True,,0.538,-0.204,0.538,0.142,0.596,0.26,0.596,-1.611,0.596,-0.375,False,0.596
6620a92f-2062-4675-bd45-9dd96129a56a,gold,short,bb2_expiry,4803.5,4798.1,0.11241802852086262,0.268554179244293,249.42839999999998,2026-04-15 22:32:14.54338+00,2026-04-16 14:33:10.549+00,True,,0.529,-0.213,0.529,0.133,0.588,0.252,0.588,-1.619,0.588,-0.383,False,0.588
75f9073d-4270-46b2-a6fc-5bdfe3ed41bb,btc,long,stop_loss,74831,73261,-2.098060964038968,0.0761716400956823,11.733120000000001,2026-04-16 07:32:23.774659+00,2026-04-16 13:55:15.66+00,True,,2.338,0.915,2.338,1.42,3.055,1.975,5.659,5.494,6.849,3.847,True,5.659
181d6900-afb0-4577-b434-67fcbdd739cf,aapl,long,stop_loss,266.8,262.75,-1.5179910044977551,0.775862068965515,40.46657999999999,2026-04-16 00:32:24.736415+00,2026-04-16 13:41:12.187+00,True,,1.926,-0.293,1.926,0.419,1.926,0.525,2.698,2.322,3.646,2.523,True,2.698
20153230-c117-4167-a0e8-11850bcc92f7,aapl,long,stop_loss,266.8,263.57,-1.2106446776611763,0.775862068965515,237.447,2026-04-16 00:32:14.731471+00,2026-04-16 13:35:26.503+00,True,,1.609,-0.603,1.609,0.106,1.609,0.212,2.379,2.003,3.324,2.204,True,2.379
28e774e7-56ed-462c-9bcf-5717a12a9822,nvda,long,stop_loss,198.62,196.12,-1.2586849259893265,0.0,247.09133999999997,2026-04-16 10:32:17.378119+00,2026-04-16 13:31:09.159+00,True,,1.336,1.316,1.907,1.045,1.907,1.081,2.871,2.56,2.886,1.703,True,2.871
24107819-0a3f-4fa3-b7e7-09075b89d2fa,btc,long,stop_loss,74832,74262,-0.7617062219371392,0.032071840923669,181.94435,2026-04-16 07:32:13.963173+00,2026-04-16 10:51:06.155+00,True,,0.467,0.362,0.959,-0.446,1.666,0.765,2.766,1.301,5.409,2.544,True,2.766
587749b4-8aeb-4abb-ad2b-76016bc682bf,oil,short,stop_loss,88.159,89.497,-1.5177123152485779,0.419696230674128,30.962847999999997,2026-04-16 02:02:15.573492+00,2026-04-16 08:09:09.57+00,True,,0.454,-0.026,1.355,0.232,1.355,-0.088,1.355,0.488,11.696,5.52,False,1.355
